id;question;correct;distractor1;distractor2;distractor3;grade;visible
1;[["text","△▷_▷"]];[["text","y"]];[["text","i"]];;;0;1
2;[["text","◁_◯"]];[["text","í"]];[["text","ý"]];;;0;1
3;[["text","◯_◯▷"]];[["text","y"]];[["text","i"]];;;0;1
4;[["text","△△△△_◯"]];[["text","í"]];[["text","ý"]];;;0;1
5;[["text","◁_◯◯△◁"]];[["text","í"]];[["text","ý"]];;;0;1
16;[["text","△_△▷△△◯"]];[["text","ý"]];[["text","í"]];;;0;1
17;[["text","◯_◁"]];[["text","ý"]];[["text","í"]];;;0;1
18;[["text","◁_△◁△△◯"]];[["text","ý"]];[["text","í"]];;;0;1
19;[["text","◁_▷"]];[["text","y"]];[["text","i"]];;;0;1
20;[["text","◯◁△_◯◁▽▷"]];[["text","y"]];[["text","i"]];;;0;1
21;[["text","◁◯_△"]];[["text","y"]];[["text","i"]];;;0;1
22;[["text","△◯△_◯◁▽"]];[["text","y"]];[["text","i"]];;;0;1
24;[["text","◁_▷"]];[["text","y"]];[["text","i"]];;;0;1
25;[["text","△_△▽▽▷▽◯"]];[["text","y"]];[["text","i"]];;;0;1
26;[["text","◯◯◯△◁_◯▽"]];[["text","y"]];[["text","i"]];;;0;1
27;[["text","▽_◁▷"]];[["text","y"]];[["text","i"]];;;0;1
28;[["text","◁▷▽△◯_△"]];[["text","y"]];[["text","i"]];;;0;1
29;[["text","▽_▷▽"]];[["text","y"]];[["text","i"]];;;0;1
30;[["text","▽_▽"]];[["text","y"]];[["text","i"]];;;0;1
31;[["text","◁_△△△"]];[["text","y"]];[["text","i"]];;;0;0
32;[["text","◯_△◯"]];[["text","y"]];[["text","i"]];;;0;0
33;[["text","▽△△▽_▷"]];[["text","ý"]];[["text","í"]];;;0;1
34;[["text","◁▷_▷◁◯△◯"]];[["text","y"]];[["text","i"]];;;0;1
35;[["text","△_▽△▷◁"]];[["text","y"]];[["text","i"]];;;0;1
36;[["text","△_△▷◯◯◁"]];[["text","y"]];[["text","i"]];;;0;1
37;[["text","◁_◯"]];[["text","y"]];[["text","i"]];;;0;1
38;[["text","▽_▽"]];[["text","y"]];[["text","i"]];;;0;0
40;[["text","◁▷▽△_△▽◁"]];[["text","y"]];[["text","i"]];;;0;1
41;[["text","◁_▷▷◯◯△△"]];[["text","ý"]];[["text","í"]];;;0;1
42;[["text","△▷◯_△"]];[["text","y"]];[["text","i"]];;;0;1
43;[["text","▷_◯△▽"]];[["text","y"]];[["text","i"]];;;0;1
44;[["text","▽▽_◯▷▽▷△"]];[["text","y"]];[["text","i"]];;;0;1
45;[["text","▷▷▽▷▽_△◁"]];[["text","y"]];[["text","i"]];;;0;1
46;[["text","▷◯▽△◁_◁◯"]];[["text","ý"]];[["text","í"]];;;0;1
47;[["text","▷▽◯_▽"]];[["text","ý"]];[["text","í"]];;;0;1
48;[["text","▷▽△△▷_△"]];[["text","y"]];[["text","i"]];;;0;1
49;[["text","▷◁◯_◁△"]];[["text","y"]];[["text","i"]];;;0;1
50;[["text","◁_△"]];[["text","y"]];[["text","i"]];;;0;1
51;[["text","▷_▽▽▷▷◯▷"]];[["text","ý"]];[["text","í"]];;;0;1
52;[["text","◁_△◁◯"]];[["text","ý"]];[["text","í"]];;;0;1
53;[["text","◯▷_◁△"]];[["text","ý"]];[["text","í"]];;;0;1
54;[["text","▷_◁"]];[["text","y"]];[["text","i"]];;;0;1
56;[["text","▽▷▷◯▷_◯"]];[["text","y"]];[["text","i"]];;;0;1
57;[["text","△◁_▷"]];[["text","y"]];[["text","i"]];;;0;1
58;[["text","△_◯▷"]];[["text","y"]];[["text","i"]];;;0;1
59;[["text","▽◁_▽"]];[["text","y"]];[["text","i"]];;;0;1
60;[["text","▷△_△△"]];[["text","y"]];[["text","i"]];;;0;1
61;[["text","▷◯▷_▷◯▽▷"]];[["text","y"]];[["text","i"]];;;0;1
62;[["text","▽_◁"]];[["text","ý"]];[["text","í"]];;;0;0
63;[["text","△_△"]];[["text","y"]];[["text","i"]];;;0;1
64;[["text","▽_◁◯"]];[["text","y"]];[["text","i"]];;;0;1
65;[["text","▽▷_▽△▷◁"]];[["text","ý"]];[["text","í"]];;;0;1
66;[["text","▷◯_△"]];[["text","y"]];[["text","i"]];;;0;0
67;[["text","◯▷_△▽▷△"]];[["text","y"]];[["text","i"]];;;0;1
68;[["text","◁_▷"]];[["text","y"]];[["text","i"]];;;0;1
69;[["text","△_◯◁▷◯"]];[["text","y"]];[["text","i"]];;;0;0
70;[["text","▽_◯◯◁△▷"]];[["text","y"]];[["text","i"]];;;0;0
71;[["text","◁△△▷◯▽_△"]];[["text","y"]];[["text","i"]];;;0;1
72;[["text","▽_△▷△△▷"]];[["text","y"]];[["text","i"]];;;0;1
73;[["text","◯◯_▽"]];[["text","y"]];[["text","i"]];;;0;1
74;[["text","◁◯▽_◯"]];[["text","y"]];[["text","i"]];;;0;1
75;[["text","▷▽▷_◯"]];[["text","y"]];[["text","i"]];;;0;1
76;[["text","◯▽_▽"]];[["text","y"]];[["text","i"]];;;0;1
77;[["text","▷▷_▷▷△"]];[["text","y"]];[["text","i"]];;;0;1
78;[["text","△_▷"]];[["text","y"]];[["text","i"]];;;0;1
79;[["text","◯◁△_▽◁◯"]];[["text","y"]];[["text","i"]];;;0;1
80;[["text","▷_△◯"]];[["text","y"]];[["text","i"]];;;0;1
81;[["text","▷▽_◁◁◯◯"]];[["text","y"]];[["text","i"]];;;0;1
84;[["text","◁△△◯◁_◯"]];[["text","y"]];[["text","i"]];;;0;1
85;[["text","△◯△◯_▷△"]];[["text","y"]];[["text","i"]];;;0;1
86;[["text","▽_▽"]];[["text","y"]];[["text","i"]];;;0;1
87;[["text","▷▽_◁▷◯◁◯"]];[["text","y"]];[["text","i"]];;;0;1
88;[["text","▽_◯▷△▽"]];[["text","y"]];[["text","i"]];;;0;1
89;[["text","▽◯▷◯_▽"]];[["text","y"]];[["text","i"]];;;0;1
90;[["text","◁_▽"]];[["text","y"]];[["text","i"]];;;0;1
91;[["text","◯_◁▷△◁▷"]];[["text","y"]];[["text","i"]];;;0;1
92;[["text","△_▷"]];[["text","y"]];[["text","i"]];;;0;1
93;[["text","◯_◁▽△"]];[["text","y"]];[["text","i"]];;;0;1
94;[["text","◯_◯▽"]];[["text","y"]];[["text","i"]];;;0;1
95;[["text","◁_◯▽▷▷"]];[["text","y"]];[["text","i"]];;;0;1
96;[["text","▷▽◯▽_◯"]];[["text","ý"]];[["text","í"]];;;0;1
97;[["text","△_◁▽"]];[["text","y"]];[["text","i"]];;;0;1
99;[["text","◁_△◁"]];[["text","ý"]];[["text","í"]];;;0;1
100;[["text","◯△_◯△▷△"]];[["text","ý"]];[["text","í"]];;;0;1
101;[["text","▽_▷▷▷"]];[["text","ý"]];[["text","í"]];;;0;1
102;[["text","▽_△"]];[["text","ý"]];[["text","í"]];;;0;1
104;[["text","◯_◯▽△◁"]];[["text","y"]];[["text","i"]];;;0;1
105;[["text","◁_△▽"]];[["text","y"]];[["text","i"]];;;0;1
106;[["text","◁_▷"]];[["text","y"]];[["text","i"]];;;0;1
107;[["text","△_◯▷"]];[["text","ý"]];[["text","í"]];;;0;1
108;[["text","▽_◯△◯"]];[["text","ý"]];[["text","í"]];;;0;1
109;[["text","△△◁_△◯"]];[["text","ý"]];[["text","í"]];;;0;1
110;[["text","◯_◁◁"]];[["text","ý"]];[["text","í"]];;;0;1
111;[["text","▷_◁"]];[["text","y"]];[["text","i"]];;;0;1
112;[["text","◁_◁△"]];[["text","y"]];[["text","i"]];;;0;1
114;[["text","▽▽▽_△▽"]];[["text","ý"]];[["text","í"]];;;0;1
115;[["text","▷△◁_◁▷◯"]];[["text","y"]];[["text","i"]];;;0;1
116;[["text","▷◯_▷"]];[["text","ý"]];[["text","í"]];;;0;1
117;[["text","▽▽_▷▷△◯"]];[["text","y"]];[["text","i"]];;;0;1
118;[["text","▽_◁▽"]];[["text","ý"]];[["text","í"]];;;0;1
119;[["text","▷◯◯◯_◁◯"]];[["text","y"]];[["text","i"]];;;0;1
120;[["text","▽▽▷△◁_△"]];[["text","ý"]];[["text","í"]];;;0;1
121;[["text","▽_◯"]];[["text","ý"]];[["text","í"]];;;0;1
122;[["text","◯▽△_◯"]];[["text","y"]];[["text","i"]];;;0;1
123;[["text","▽▷_◯◯▽▷"]];[["text","ý"]];[["text","í"]];;;0;1
124;[["text","◁_◯▷"]];[["text","ý"]];[["text","í"]];;;0;1
125;[["text","▽◯▽△▷_◁"]];[["text","ý"]];[["text","í"]];;;0;1
126;[["text","◯◁_△"]];[["text","ý"]];[["text","í"]];;;0;1
127;[["text","◯◁△_◁◁"]];[["text","y"]];[["text","i"]];;;0;1
128;[["text","◁◁▽▷▽_△"]];[["text","ý"]];[["text","í"]];;;0;1
129;[["text","△◯▽_◯▷"]];[["text","ý"]];[["text","í"]];;;0;1
130;[["text","◁_◁△▽▷▽"]];[["text","ý"]];[["text","í"]];;;0;1
131;[["text","▽◯_▷▷"]];[["text","y"]];[["text","i"]];;;0;1
132;[["text","◯▽_△▷▷▽△"]];[["text","y"]];[["text","i"]];;;0;1
133;[["text","◁◯◁▽_▷▽"]];[["text","y"]];[["text","i"]];;;0;1
134;[["text","▽_▷△▷"]];[["text","y"]];[["text","i"]];;;0;1
135;[["text","◯▷▽▽◁_▷▷"]];[["text","y"]];[["text","i"]];;;0;1
136;[["text","▽▷_▽△▷◯◁"]];[["text","y"]];[["text","i"]];;;0;1
137;[["text","△△▷▽◁_△◁"]];[["text","y"]];[["text","i"]];;;0;1
138;[["text","△_◁"]];[["text","y"]];[["text","i"]];;;0;1
139;[["text","△_◁▷◯"]];[["text","y"]];[["text","i"]];;;0;1
140;[["text","▽▷▽◁_△"]];[["text","ý"]];[["text","í"]];;;0;1
141;[["text","▽◯_△"]];[["text","y"]];[["text","i"]];;;0;1
142;[["text","▽_◁"]];[["text","ý"]];[["text","í"]];;;0;1
143;[["text","▽◁△_◁△◯◁"]];[["text","y"]];[["text","i"]];;;0;1
144;[["text","△▽_◯▽"]];[["text","y"]];[["text","i"]];;;0;1
145;[["text","◯△_◯"]];[["text","y"]];[["text","i"]];;;0;1
146;[["text","△◯_▷◯"]];[["text","y"]];[["text","i"]];;;0;1
147;[["text","△_◁◁▷◁"]];[["text","y"]];[["text","i"]];;;0;1
148;[["text","▽▽_◯▷▷△"]];[["text","ý"]];[["text","í"]];;;0;1
149;[["text","◁◁_◁◁◁◁△"]];[["text","ý"]];[["text","í"]];;;0;1
150;[["text","◁◁◯▽_◯◁"]];[["text","y"]];[["text","i"]];;;0;1
151;[["text","▷▷◯◯◁_◁"]];[["text","y"]];[["text","i"]];;;0;1
152;[["text","▽_◁◁△"]];[["text","y"]];[["text","i"]];;;0;1
153;[["text","▽_△◁▷▽"]];[["text","y"]];[["text","i"]];;;0;1
154;[["text","▽▷_◯△"]];[["text","y"]];[["text","i"]];;;0;1
155;[["text","▽_△"]];[["text","y"]];[["text","i"]];;;0;1
156;[["text","▷◁◁▷_△▷◁"]];[["text","y"]];[["text","i"]];;;0;1
157;[["text","◁▽◯_▽"]];[["text","ý"]];[["text","í"]];;;0;1
158;[["text","▷◯_◯"]];[["text","ý"]];[["text","í"]];;;0;1
159;[["text","◯_△◁"]];[["text","ý"]];[["text","í"]];;;0;1
160;[["text","△▽▷_◁▷◯"]];[["text","ý"]];[["text","í"]];;;0;1
161;[["text","◁▽_◁▷▷◁"]];[["text","ý"]];[["text","í"]];;;0;1
162;[["text","△▷▽_▷"]];[["text","ý"]];[["text","í"]];;;0;1
163;[["text","△▽▷◯▷_▷"]];[["text","y"]];[["text","i"]];;;0;1
164;[["text","△_△"]];[["text","y"]];[["text","i"]];;;0;0
165;[["text","▽▷_▽"]];[["text","y"]];[["text","i"]];;;0;0
166;[["text","△◯▷◁△_△"]];[["text","y"]];[["text","i"]];;;0;1
167;[["text","△◯▷◁◯_△"]];[["text","y"]];[["text","i"]];;;0;1
168;[["text","◯△◯_◁◁"]];[["text","y"]];[["text","i"]];;;0;1
173;[["text","◁▽_△"]];[["text","i"]];[["text","y"]];;;0;1
174;[["text","▷△▽◁▽_▷"]];[["text","i"]];[["text","y"]];;;0;1
175;[["text","▷◯_◁△◁▷▽"]];[["text","y"]];[["text","i"]];;;0;0
176;[["text","▷_▷△▽"]];[["text","i"]];[["text","y"]];;;0;1
177;[["text","▷△▽_△◁◯◯"]];[["text","ý"]];[["text","í"]];;;0;1
178;[["text","▷_△△△△◯"]];[["text","i"]];[["text","y"]];;;0;1
180;[["text","▷▷▽△◁_▷"]];[["text","i"]];[["text","y"]];;;0;1
181;[["text","◯_△"]];[["text","ý"]];[["text","í"]];;;0;1
182;[["text","◁_▷◁▽"]];[["text","ý"]];[["text","í"]];;;0;1
183;[["text","◯_▽"]];[["text","y"]];[["text","i"]];;;0;1
184;[["text","▷▷_◁"]];[["text","y"]];[["text","i"]];;;0;1
185;[["text","◁▷◯△_△▷"]];[["text","i"]];[["text","y"]];;;0;1
186;[["text","▽▽_◯◯"]];[["text","y"]];[["text","i"]];;;0;1
187;[["text","◁_▽"]];[["text","y"]];[["text","i"]];;;0;1
188;[["text","▽▽_△"]];[["text","i"]];[["text","y"]];;;0;1
189;[["text","▷◁△◁_△"]];[["text","ý"]];[["text","í"]];;;0;1
191;[["text","▷◁▷△_◁△"]];[["text","i"]];[["text","y"]];;;0;1
192;[["text","◯◁▷_◁"]];[["text","i"]];[["text","y"]];;;0;1
193;[["text","△_△"]];[["text","ý"]];[["text","í"]];;;0;1
194;[["text","▽_◁"]];[["text","i"]];[["text","y"]];;;0;1
195;[["text","◯◁△◯▷_▽"]];[["text","i"]];[["text","y"]];;;0;1
196;[["text","▷△_◯▽◯◁▽"]];[["text","í"]];[["text","ý"]];;;0;1
197;[["text","△◯▷_◁▽"]];[["text","i"]];[["text","y"]];;;0;1
198;[["text","◯_◁△"]];[["text","i"]];[["text","y"]];;;0;1
199;[["text","◯◯_▽▷◯"]];[["text","ý"]];[["text","í"]];;;0;1
200;[["text","▷▽▷_▽▷"]];[["text","i"]];[["text","y"]];;;0;1
201;[["text","△_▽▷▷▽"]];[["text","y"]];[["text","i"]];;;0;1
202;[["text","◯_◯△▽"]];[["text","y"]];[["text","i"]];;;0;1
